"Beschreibung","Art. Nr.","Anzahl","Stückpreis"
"Taste","AV 06-00","1","8.90"
"Akkuladegerät","VARTA PP LCD","1","12.20"
"Switch","ALLNET ALL8445V3","1","21.95"
"USB Hub","LOGILINK UA0149","1","23.95"
"Keystone Leergehäuse","DELOCK 86208","1","2.95"
"Keystone USB Buchse","DELOCK 86367","4","5.95"
"Keystone Audio Buchse","DELOCK 86336","1","3.90"
"Speicherkarte","PTM 177117","2","6.95"
"RJ45 Dose","EQUIP 235211","2","2.95"
"USB 2.0 Kabel","GC 2212-AA05","2","0.95"
"Forstnerbohrer","BOHR HFN 20MM","1","12.20"
"Festplatte","ST1000LM049","1","59.95"
"USB Ladegerät","N WCHAU1000AWH","1","34.99"
"Audiokabel","SHVP 30812-15SBN","1","8.60"
"Keystone HDMI","TTL 152910","1","7.95"
